,Type,Post
0,Introvert,You walk back from town for an hour and a half late at night purely because you know there won't be anyone in the house all day tomorrow.
1,Introvert,You get annoyed at cars driving past whilst you're walking down a dark road because they're interrupting you.
2,Introvert,You get more excited than most people consider healthy by the idea of having a lock on your bedroom door.
3,Introvert,There didn't seem to be one of these already so I thought I'd start one :laughing:
4,Introvert,"You find yourself not interested in associating with someone, even though you relate to and get along with the person really well."
5,Introvert,You seek out late night shifts in retail & customer service jobs at least partly due to the reduction in social pressure of the work.
6,Introvert,"When living in a household with multiple people, you arrange your sleep habits so that you do things when people are either away or asleep."
7,Introvert,"You're at an office building walking several paces behind someone, and you slow down so you won't have to take the same elevator as them."
8,Introvert,:wink: I made this last year:
9,Introvert,You get more excited than most people consider healthy by the idea of having a lock on your bedroom door.
10,Introvert,"When everytime you read a book in a public place, you strategically leave out a book on serial killers or something equivalent to deter people from talking to you."
11,Introvert,When you've gone over a week without speech without even needing to break your schedule.
12,Introvert,"When people always think you're plotting something, just because you're so quiet."
13,Introvert,"When everytime you read a book in a public place, you strategically leave out a book on serial killers or something equivalent to deter people from talking to you."
14,Introvert,When you've gone over a week without speech without even needing to break your schedule.
15,Introvert,"When you realise that over the course of the whole Summer holidays, you've spent about 90% of the hours in your room."
16,Introvert,Does this work? I am going to try this someday.
17,Introvert,You get more excited than most people consider healthy by the idea of having a lock on your bedroom door.
18,Introvert,"would other people know you are such an introvert? i mean if you were with a couple of your friends, because i met my ENFP friend's INTJ friend a few days ago and it's been us three in the same house, i originally thought he was an ENTP because we had such crazy conversations together and he is pretty randomly hilarious. he doesn't seem to need much alone time, apart from in the mornings when he doesn't seem to want to come out for a bit, but once he has he does at least as much of the talking as we do."
19,Introvert,This is the reason I go to sleep at such ridiculous hours xD 'Well... No-one else was using 5 in the morning... I thought I'd make it feel wanted...'
20,Introvert,When you're well familiar with what's on your mind but need a lot of time to verbalize it. 
21,Introvert,"When you go to a party and end up with a beer in a corner-sofa thinking to yourself ""what's the purpose of this? I don't get it"". "
22,Introvert,When you seek time alone to make up for the abundance of stimuli and interactions that suck your energy dry each day. 
23,Introvert,"When the internet is your best friend, certainly the most useful!"
24,Introvert,"When you question how and why people bare themselves everyday, telling everyone about everything that has happened in the 24 hours you've been apart!"
25,Introvert,When you spend three days inside the house without going out or speaking to anyone without thinking it's the slightest bit odd.
26,Introvert,"You know you are a Introvert when you can stay up almost all night in your room, alll alone, without getting too tired."
27,Introvert,You know you are a Introvert when you actually get bored at parties.
28,Introvert,You know you are a Introvert when you don't remember feeling lonely.
29,Introvert,"You know you're an introvert when you'd much rather spend the day by yourself, doing your own thing, rather than trying to coordinate with a bunch of other people... all those icky people. :wink:"
30,Introvert,...Or maybe I'm just anti-social. Heh.
31,Introvert,You know you're an introvert when you find yourself intensely interested in the ingredients of Diet Coke after you spot a former acquaintance in the same aisle at the grocery store.
32,Introvert,"would other people know you are such an introvert? i mean if you were with a couple of your friends, because i met my ENFP friend's INTJ friend a few days ago and it's been us three in the same house, i originally thought he was an ENTP because we had such crazy conversations together and he is pretty randomly hilarious. he doesn't seem to need much alone time, apart from in the mornings when he doesn't seem to want to come out for a bit, but once he has he does at least as much of the talking as we do."
33,Introvert,When you are really happy when you have the home for yourself and you don't plan on inviting people over.
34,Introvert,"When you realise that over the course of the whole Summer holidays, you've spent about 90% of the hours in your room."
35,Introvert,You're on personalitycafe at 11o clock Saturday night.
36,Introvert,"When you get off work, are excited that you get to chill at home and you arrive to see unfamiliar shoes near the door and noise coming from the living room. Then it hits you that there are guests at your house, family or not who cares, the point is, you can't relax (not completely anyway) and that upsets you. "
37,Introvert,"When you're thinking of what to say to fill up the silence but by the time you come up with something, the person has walked away."
38,Introvert,When you find any excuse possible to get out of going to spend the day at your brother's house with his 3 (loud and wild) kids. 
39,Introvert,"(I adore my nieces and nephews, but they expect me to just sit around for HOURS just ""visiting"")"
40,Introvert,You are quietly smiling down on your baby for needing a nap right when the Christmas party started to get a bit hectic and you get to sit with her in an empty bedroom instead.
41,Introvert,When you'd just....rather not post about it.
42,Introvert,When you'd just....rather not post about it.
43,Introvert,When the thought of visiting Italy freaks you out quite a bit because this is a land where they have the custom to pseudo-hug and pseudo-kiss while touching cheeks. 
44,Introvert,when you have to take a nap after hanging out with someone lol
45,Introvert,"- when you make plans with friends but the closer the date of meeting comes, the more you try to find a legitimate excuse not to go"
46,Introvert,-
47,Introvert,- When you enjoy a group of friends but you still want to sneak out to be by yourself. 
48,Introvert,- When complete solitude makes you feel like you really are who you're meant to be.
49,Introvert,You're on personalitycafe at 11o clock Saturday night.
50,Introvert,"Only 11? I consider 3AM early, 4AM normal and 5AM late"
51,Introvert,...the best part about having guests at your home is the moment they leave.
52,Introvert,Lol I might get up in the morning at 5
53,Introvert,"- Reading, Netflix, and video games are more fun than loud parties."
54,Introvert,"- You only have a few friends, but the connections are deep."
55,Introvert,- It takes you a while to think about what you what to say.
56,Introvert,- You'd prefer to talk one on one over being in a group.
57,Introvert,When you would rather starve to death than go and get some food in the kitchen full of people.
58,Introvert,........when you come out of your mama's womb and want to be left alone.....
59,Introvert,"I honestly once spent so much time socializing once and got so exhausted by it that I passed out. Before that, I was spending I even taking many naps throughout now the day after all the socializing. Haha. After that, I figured I need to take care of myself not to overexert myself with others more. These days, there are way too many group works in school and I've been kind of out of it really from the overstimulation. When I need more alone time, I tend to grow more sensitive to loud noise and crowds. Really uncomfortable. And can even be outright overwhelming when I'm moved to the limit. "
60,Introvert,Yeah. Alone time is better. Lots of it.
61,Introvert,When you have to make sure you get all your errands done on the way home from work because you know here is no way you're leaving the house again until tomorrow.
62,Introvert,"You're at an office building walking several paces behind someone, and you slow down so you won't have to take the same elevator as them."
63,Introvert,"Every Wednesday there is a rhythm game club meeting. I have lots of fun there, and I become quite talkative and even hyper, I would say. Regardless of how much I enjoyed, I come home drained, and I don't want to meet anyone and I need to recharge for the entire day the next day (and quite commonly, more than a day, which I prefer)....typical introvert behaviour lol"
64,Introvert,"When you eat lunch in your car, not because you have no one to talk to, but because you really don't wanna talk to anyone."
65,Introvert,When someone cancels on you and you're happy.
66,Introvert,When you've talked to people all week but are so exhausted by it that you're looking forward to spending your weekend alone.
67,Introvert,When you can start a conversation excited and loud but grow more quiet and monotone as the conversation drags on.
68,Introvert,When you've socialized too much while you're standing and you need to sit down or even lie down from exhaustion.
69,Introvert,"When you start to stutter, get slower in thought or grow more softspoken in a conversation when you're overwhelmed by all the people."
70,Introvert,"~when you'd much rather stay in your room reading, listening to music, watching movies and talking with friends online than going to a nightclub. "
71,Introvert,~when your classmates just totally forget about your existence and leave without you bc you are quiet and don't bother much to talk much to them during breaks or outside of school
72,Introvert,~when you never leave home without your earphones 
73,Introvert,~when you look for a place somewhere quiet in your school so that you can spend your lunchbreak there instead of the canteen
74,Introvert,When you would rather hide and eat nothing than go into a room full of people by yourself to get food.
75,Introvert,"-When you feel like you're ""pretending"" while being super outgoing around others"
76,Introvert,"-When you take yourself out to eat, go shopping, to museums, or to the park and have a marvelous time"
77,Introvert,"-When you have to deal with stares because you like going out by yourself.... (The worst being restaurants, especially since I'm a young woman)"
78,Introvert,"-When you complain about being so lonely, but anything over two hours of talking is encroaching on your alone time"
79,Introvert,"-When you're constantly looking at your phone to ""check the time"" when you're out with people, but couldn't care less about time when you're alone"
80,Introvert,or when you're by yourself and constantly checking the time to make the most of your alone time until you have to go somewhere social.
81,Introvert,"You schedule ""people time"" when it will be closely followed by another ""chore."""
82,Introvert,"Extroverted Friends: ""Hey, that movie was fun why don't we get some quick dessert at the cafe."""
83,Introvert,"Me, shameless Introvert: ""ooooh, sorry guys. I have to go exercise my dog and pick up groceries. Oh, and dinner. Definitely have to make dinner. And uh, organize. Yeah, my book shelf is waaaaaaay outta hand, seriously you wouldn't know it was mine if it wasn't.., um, ..... in my house. Sooo... I'll be seeing ya. """
84,Introvert,"You know you're an introvert when you leave the house, and your first thought is ""I can't wait to get home and sleep."""
85,Introvert,obviously...
86,Introvert,When you shut your phone off for a day so people will stop calling/texting you.
87,Introvert,"...But then you also realize you need it in case of important matters. So in that case, I just ignore most texts (unless important)."
88,Introvert,Setting up a meeting with nice new people is very difficult. And then you start thinking are they nice and are they genuine or slightly or even more dull to generate you annoying moments that you didn't have when alone... Oh boy...
89,Introvert,"Unlike shyness and anti-socialism, which are learned psychological attributes, introversion is thought to be a biological state of being over-sensitive to Dopamine (meaning that too much external stimulation such as socialising exhausts them). You can’t ‘fix’ introversion. There’s no need to ‘fix’ introverts – the world needs introverts as much as it needs extroverts."
90,Introvert,"Because intuitives can feel or sense the emotions of others, they often have a difficult time being in crowded places like a mall, concert venue, or fair. Intuitives tend to be more introverted when it comes to social outings. They enjoy one-on-one conversation and detest small talk. Intuitives like to discuss deep topics such as spirituality, mysteries and mystical studies. When they are around a group of people, intuitives might find themselves pulling their energy in and becoming more quiet. Intuitives make great observers of people. They often notice things others tend to miss. If you’re intuitive, it might help you to avoid crowds when possible. If you have to be in a crowded place, give yourself plenty of downtime afterwards so you can recharge your batteries."
91,Introvert,*people alert engaged*
92,Introvert,*stays 10 meters away from strangers*
93,Introvert,When you are perfectly happy with being alone for a few days.
94,Introvert,xD im an introvert im so Q U I E T
